name,genre,tomatometer_score,tomatometer_count,audience_score,audience_count,classification,runtime,release_year,original_language,url
Avengers: Infinity War,"Action, Adventure, Fantasy, Sci-fi",85%,492,92%,"50,000+",PG-13 (Intense Sci-Fi Violence|Action Throughout|Language|Some Crude References),2h 29m,2018,English,https://www.rottentomatoes.com/m/avengers_infinity_war
AKA Mr. Chow,"Documentary, Biography",--,3,--,Fewer,,1h 30m,2023,English,https://www.rottentomatoes.com/m/aka_mr_chow
Entergalactic,"Music, Romance, Comedy, Animation",97%,30,94%,500+,,1h 32m,2022,English,https://www.rottentomatoes.com/m/entergalactic
Onyx the Fortuitous and the Talisman of Souls,"Comedy, Horror, Action",64%,36,97%,100+,,1h 50m,2023,English,https://www.rottentomatoes.com/m/onyx_the_fortuitous_and_the_talisman_of_souls
Little Richard: I Am Everything,"Documentary, Music, Biography",95%,92,98%,500+,,1h 38m,2023,English,https://www.rottentomatoes.com/m/little_richard_i_am_everything
Divergent,"Sci-fi, Action, Adventure",41%,237,69%,"100,000+",PG-13 (Some Sensuality|Intense Violence and Action|Thematic Elements),2h 20m,2014,English,https://www.rottentomatoes.com/m/divergent
Haunted Mansion,"Fantasy, Comedy",37%,252,84%,"2,500+",PG-13 (Some Thematic Elements|Scary Action),2h 3m,2023,English,https://www.rottentomatoes.com/m/haunted_mansion_2023
The Nun,"Horror, Mystery & thriller",24%,209,35%,"5,000+",R (Terror|Disturbing/Bloody Images|Violence),1h 36m,2018,English,https://www.rottentomatoes.com/m/the_nun_2018
A Nice Girl Like You,"Romance, Comedy",10%,10,78%,250+,R (Sexual Content Throughout|Language),1h 34m,2020,English,https://www.rottentomatoes.com/m/a_nice_girl_like_you
Legend,"Crime, Drama, Biography",61%,173,59%,"25,000+",R (Some Sexual and Drug Material|Language Throughout|Strong Violence),2h 11m,2015,English,https://www.rottentomatoes.com/m/legend_2015
Love & Mercy,"Biography, Drama",89%,218,85%,"10,000+",PG-13 (Language|Drug Content|Thematic Elements),2h 0m,2014,English,https://www.rottentomatoes.com/m/love_and_mercy
Shrek Forever After,"Kids & family, Comedy, Adventure, Fantasy, Animation",57%,200,54%,"250,000+",PG (Mild Action|Brief Language|Some Rude Humor),1h 35m,2010,English,https://www.rottentomatoes.com/m/shrek_forever_after
Dumb Money,"Comedy, Drama",84%,224,85%,250+,R (Sexual Material|Pervasive Language|Drug Use),1h 45m,2023,English,https://www.rottentomatoes.com/m/dumb_money
Operation Fortune: Ruse de guerre,"Action, Comedy, Mystery & thriller",51%,151,82%,500+,R (Language and Violence),1h 54m,2023,English,https://www.rottentomatoes.com/m/operation_fortune_ruse_de_guerre
Ma Rainey's Black Bottom,"History, Drama, Music",97%,319,73%,"1,000+",R (Some Sexual Content|Language|Brief Violence),1h 34m,2020,English,https://www.rottentomatoes.com/m/ma_raineys_black_bottom
Perfume: The Story of a Murderer,"Mystery & thriller, History, Drama",59%,131,74%,"250,000+",R (Disturbing Images|Aberrant Behavior|Nudity|Sexuality|Violence),2h 25m,2006,English,https://www.rottentomatoes.com/m/perfume_the_story_of_a_murderer
Legion,"Horror, Fantasy, Mystery & thriller",20%,107,31%,"250,000+",R (Strong Bloody Violence|Language),1h 44m,2010,English,https://www.rottentomatoes.com/m/legion_2010
8-Bit Christmas,"Holiday, Comedy",84%,31,75%,500+,PG (Some Mild Violence|Rude Humor|Language|Suggestive References),1h 45m,2021,English,https://www.rottentomatoes.com/m/8_bit_christmas
The Alpinist,Documentary,93%,45,97%,50+,PG-13 (Some Strong Language|Brief Drug Content),1h 33m,2021,English,https://www.rottentomatoes.com/m/the_alpinist_2021
Set It Up,"Romance, Comedy",92%,63,68%,"1,000+",TV14,1h 45m,2018,English,https://www.rottentomatoes.com/m/set_it_up
Sand Castle,"War, Drama",47%,17,46%,500+,TVMA,1h 53m,2017,English,https://www.rottentomatoes.com/m/sand_castle_2017
Pride & Prejudice,"Drama, Romance",87%,180,89%,"250,000+",PG (Some Mild Thematic Elements),2h 8m,2005,English (United Kingdom),https://www.rottentomatoes.com/m/1153077-1153077-pride_and_prejudice
"The Hunger Games: Mockingjay, Part 2","Sci-fi, Action, Adventure",70%,294,66%,"100,000+",PG-13 (Intense Sequences of Violence|Action|Some Thematic Material),2h 16m,2015,English,https://www.rottentomatoes.com/m/the_hunger_games_mockingjay_part_2
Heat,"Crime, Drama",89%,96,94%,"100,000+",R,2h 50m,1995,English,https://www.rottentomatoes.com/m/heat_1995
Surviving Christmas,"Holiday, Comedy",8%,116,30%,"25,000+",PG-13 (Language|Brief Drug References|Sexual Content),1h 30m,2004,English,https://www.rottentomatoes.com/m/surviving_christmas
Us,"Horror, Mystery & thriller",93%,555,60%,"10,000+",R (Violence/Terror|Language),1h 56m,2019,English,https://www.rottentomatoes.com/m/us_2019
Being the Ricardos,"Biography, Drama",68%,281,75%,100+,R (Language),2h 5m,2021,English,https://www.rottentomatoes.com/m/being_the_ricardos
"Don't Worry, He Won't Get Far on Foot","Biography, Comedy, Drama",77%,192,75%,"1,000+",R (Language Throughout|Alcohol Abuse|Sexual Content|Some Nudity),1h 53m,2018,English,https://www.rottentomatoes.com/m/dont_worry_he_wont_get_far_on_foot
Good Burger,Comedy,33%,45,63%,"50,000+",PG,1h 35m,1997,English,https://www.rottentomatoes.com/m/good_burger
Friendsgiving,"Holiday, Comedy",19%,26,22%,100+,R (Language Throughout|Drug Use|Crude Sexual Content),1h 35m,2020,English,https://www.rottentomatoes.com/m/friendsgiving
Imperium,"Mystery & thriller, Crime, Drama",84%,75,64%,"5,000+",R (Language Throughout),1h 48m,2016,English,https://www.rottentomatoes.com/m/imperium
Ad Astra,"Sci-fi, Adventure, Mystery & thriller",83%,398,40%,"10,000+",PG-13 (Brief Strong Language|Bloody Images|Some Violence),2h 4m,2019,English,https://www.rottentomatoes.com/m/ad_astra
The Last Airbender,"Fantasy, Adventure",5%,192,30%,"250,000+",PG (Fantasy Action Violence),1h 43m,2010,English,https://www.rottentomatoes.com/m/last_airbender
The Lost City of Z,"Adventure, History, Drama, Biography",86%,249,58%,"10,000+",PG-13 (Disturbing Images|Brief Strong Language|Some Nudity|Violence),2h 21m,2016,English,https://www.rottentomatoes.com/m/the_lost_city_of_z
Miracle on 34th Street,"Holiday, Comedy, Drama",96%,52,87%,"25,000+",,1h 36m,1947,English,https://www.rottentomatoes.com/m/miracle_on_34th_street
Widows,"Mystery & thriller, Crime, Drama",91%,427,61%,"5,000+",R (Some Sexual Content/Nudity|Language Throughout|Violence),2h 8m,2018,English,https://www.rottentomatoes.com/m/widows_2018
War for the Planet of the Apes,"Sci-fi, Action, Adventure",94%,365,84%,"50,000+",PG-13 (Sequences of Sci-Fi Violence|Action|Some Disturbing Images|Thematic Elements),2h 22m,2017,English,https://www.rottentomatoes.com/m/war_for_the_planet_of_the_apes
Dragon Ball Super: Broly,"Action, Adventure, Anime",83%,58,92%,"2,500+",PG (Language|Frenetic Sequences of Action|Violence),1h 41m,2018,Japanese,https://www.rottentomatoes.com/m/dragon_ball_super_broly
Puss in Boots: The Last Wish,"Kids & family, Comedy, Adventure, Animation",95%,192,94%,"5,000+",PG (Rude Humor/Language|Action/Violence|Some Scary Moments),1h 42m,2022,English,https://www.rottentomatoes.com/m/puss_in_boots_the_last_wish
Black Friday,"Holiday, Horror, Sci-fi, Comedy",65%,20,39%,100+,,1h 20m,2021,English,https://www.rottentomatoes.com/m/black_friday_2021
Mike Birbiglia: The Old Man and The Pool,"Comedy, Stand-up",--,Fewer,87%,,,1h 17m,2023,English,https://www.rottentomatoes.com/m/mike_birbiglia_the_old_man_and_the_pool
All the Beauty and the Bloodshed,"Documentary, Biography",95%,143,62%,100+,,1h 57m,2022,English,https://www.rottentomatoes.com/m/all_the_beauty_and_the_bloodshed
Ant-Man and The Wasp: Quantumania,"Action, Adventure, Fantasy, Comedy",46%,410,82%,"10,000+",PG-13 (Violence/Action|Language),2h 4m,2023,English,https://www.rottentomatoes.com/m/ant_man_and_the_wasp_quantumania
The Accountant,"Mystery & thriller, Action, Crime, Drama",52%,287,76%,"25,000+",R (Strong Violence|Language Throughout),2h 8m,2016,English,https://www.rottentomatoes.com/m/the_accountant_2016
Attachment,"Drama, Mystery & thriller, Horror, Comedy, Romance, Lgbtq+",95%,58,59%,100+,,1h 45m,2022,Danish,https://www.rottentomatoes.com/m/attachment
Colette,"Biography, History, Drama",87%,231,70%,"1,000+",R (Some Sexuality/Nudity),1h 51m,2018,English,https://www.rottentomatoes.com/m/colette_2018
Spider-Man,"Action, Fantasy",90%,249,67%,"250,000+",PG-13 (Stylized Violence|Stylized Action),1h 56m,2002,English,https://www.rottentomatoes.com/m/spiderman
The Revenant,"Adventure, Western",78%,403,84%,"100,000+",R (Brief Nudity|A Sexual Assault|Violence|Gory Images|Language|Strong Frontier Combat),2h 36m,2015,English,https://www.rottentomatoes.com/m/the_revenant_2015
No Hard Feelings,"Romance, Comedy",71%,222,87%,"1,000+",R (Language|Brief Drug Use|Sexual Content|Some Graphic Nudity),1h 43m,2023,English,https://www.rottentomatoes.com/m/no_hard_feelings_2023
The Professional,"Mystery & thriller, Action, Crime, Drama",74%,66,95%,"250,000+",R,1h 46m,1994,English,https://www.rottentomatoes.com/m/leon_the_professional
EVANGELION:3.0+1.01 Thrice Upon a Time,"Sci-fi, Action, Anime, Drama",100%,29,92%,500+,,2h 34m,2021,Japanese,https://www.rottentomatoes.com/m/evangelion_30_101_thrice_upon_a_time
The Electrical Life of Louis Wain,"Biography, Drama",69%,159,72%,250+,PG-13 (Strong Language|Some Thematic Material),1h 51m,2021,English (United Kingdom),https://www.rottentomatoes.com/m/the_electrical_life_of_louis_wain
Damsel,"Comedy, Western",68%,117,53%,500+,R (Sexual Material|Language|Brief Graphic Nudity|Some Violence),1h 53m,2018,English,https://www.rottentomatoes.com/m/damsel
The Incredibles,"Kids & family, Comedy, Adventure, Animation",97%,250,75%,"250,000+",PG (Action/Violence),1h 55m,2004,English,https://www.rottentomatoes.com/m/the_incredibles
"The Godfather, Coda: The Death of Michael Corleone","Crime, Drama",86%,58,86%,250+,,Crime/Drama,1990,English,https://www.rottentomatoes.com/m/the_godfather_coda_the_death_of_michael_corleone
The Curious Case of Benjamin Button,"Fantasy, Drama, Romance",71%,256,80%,"250,000+",PG-13 (Language|Brief War Violence|Sexual Content|Smoking),2h 47m,2008,English,https://www.rottentomatoes.com/m/curious_case_of_benjamin_button
Mad God,"Horror, Fantasy, Animation, Adventure",91%,91,68%,250+,,1h 23m,2021,English,https://www.rottentomatoes.com/m/mad_god
Inside Man,"Mystery & thriller, Crime, Drama",--,2,89%,100+,,1h 27m,2023,English,https://www.rottentomatoes.com/m/inside_man_2023
Shazam! Fury of the Gods,"Action, Adventure, Comedy, Fantasy",49%,258,86%,"2,500+",PG-13 (Sequences of Action|Language|Violence),2h 10m,2023,English,https://www.rottentomatoes.com/m/shazam_fury_of_the_gods
The Killing of a Sacred Deer,"Mystery & thriller, Horror",79%,281,63%,"10,000+",R (Disturbing Violent Content|Disturbing Sexual Content|Language|Some Graphic Nudity),2h 1m,2017,English,https://www.rottentomatoes.com/m/the_killing_of_a_sacred_deer
The Half of It,"Romance, Comedy, Lgbtq+",97%,105,81%,"1,000+",PG-13 (Brief Language|Teen Drinking),1h 45m,2020,English,https://www.rottentomatoes.com/m/the_half_of_it
Crown,"Documentary, Sports",--,,--,,,Documentary/Sports,2023,English,https://www.rottentomatoes.com/m/crown
Get Out,"Horror, Mystery & thriller, Comedy",98%,403,86%,"50,000+",R (Language|Bloody Images|Sexual References|Violence),1h 44m,2017,English,https://www.rottentomatoes.com/m/get_out
Asteroid City,"Comedy, Drama, Romance",75%,345,62%,"1,000+",PG-13 (Some Suggestive Material|Smoking|Brief Graphic Nudity),1h 45m,2023,English,https://www.rottentomatoes.com/m/asteroid_city
Top Secret!,"Comedy, Music",76%,51,80%,"25,000+",PG,1h 30m,1984,English,https://www.rottentomatoes.com/m/1021699-top_secret
RRR,"Action, Drama",95%,103,94%,500+,,3h 7m,2022,Telugu,https://www.rottentomatoes.com/m/rrr
Troll,"Action, Adventure, Fantasy, Mystery & thriller",90%,29,51%,"1,000+",,1h 43m,2022,Norwegian,https://www.rottentomatoes.com/m/troll_2022
Till,"Drama, History, Biography",96%,192,97%,500+,PG-13,2h 10m,2022,English,https://www.rottentomatoes.com/m/till
The Pigeon Tunnel,Documentary,96%,79,70%,Fewer,PG-13 (Brief Language|Some Violence|Smoking),1h 34m,2023,English,https://www.rottentomatoes.com/m/the_pigeon_tunnel
Constantine,"Fantasy, Horror",46%,227,72%,"250,000+",R (Violence|Demonic Images),2h 0m,2005,English,https://www.rottentomatoes.com/m/constantine
Sweet Country,"Western, History, Drama",96%,92,71%,500+,R (Language Throughout|Bloody Images|Violence),1h 53m,2017,English (Australia),https://www.rottentomatoes.com/m/sweet_country_2018
El Camino: A Breaking Bad Movie,"Crime, Drama",92%,133,81%,"5,000+",,2h 2m,2019,English,https://www.rottentomatoes.com/m/el_camino_a_breaking_bad_movie
After Everything,"Drama, Romance",--,2,79%,Fewer,R,1h 35m,2023,English,https://www.rottentomatoes.com/m/after_everything_2023
Pan's Labyrinth,"Fantasy, Drama, War",95%,243,91%,"250,000+",R (Some Language|Graphic Violence),2h 0m,2006,Spanish (Spain),https://www.rottentomatoes.com/m/pans_labyrinth
The Ballad of Buster Scruggs,"Western, Comedy, Drama",89%,237,78%,"2,500+",R (Some Strong Violence),2h 12m,2018,English,https://www.rottentomatoes.com/m/the_ballad_of_buster_scruggs
(500) Days of Summer,"Comedy, Drama, Romance",85%,233,84%,"250,000+",PG-13 (Sexual Material|Language),1h 35m,2009,English,https://www.rottentomatoes.com/m/500_days_of_summer
Let It Snow,"Holiday, Romance, Comedy, Lgbtq+",81%,27,47%,250+,PG-13 (Crude Sexual Material|Teen Partying|Strong Language),1h 33m,2019,English,https://www.rottentomatoes.com/m/let_it_snow_2019
Paddington,"Kids & family, Comedy, Adventure",97%,164,80%,"50,000+",PG (Rude Humor|Mild Action),1h 35m,2014,English,https://www.rottentomatoes.com/m/paddington_2014
Sitting in Bars with Cake,"Romance, Comedy",76%,42,86%,100+,PG-13,2h 0m,2023,English,https://www.rottentomatoes.com/m/sitting_in_bars_with_cake
Tomorrowland,"Sci-fi, Adventure, Mystery & thriller",50%,305,49%,"50,000+",PG (Sci-Fi Action Peril|Language|Sci-Fi Action Violence|Thematic Elements),2h 9m,2015,English,https://www.rottentomatoes.com/m/tomorrowland_2015
"I, Tonya","Biography, Comedy, Drama",90%,388,88%,"10,000+",R (Some Sexual Content/Nudity|Pervasive Language|Violence),2h 1m,2017,English,https://www.rottentomatoes.com/m/i_tonya
The Magician's Elephant,"Kids & family, Adventure, Animation",65%,37,83%,100+,PG (Some Action/Peril|Thematic Elements),1h 43m,2023,English,https://www.rottentomatoes.com/m/the_magicians_elephant
Noah,"History, Drama, Adventure, Fantasy",75%,262,41%,"100,000+",PG-13 (Disturbing Images|Brief Suggestive Content|Violence),2h 17m,2014,English,https://www.rottentomatoes.com/m/noah_2014
All Eyez on Me,"Biography, Drama, Music",18%,93,54%,"10,000+",R (Language Throughout|Drug Use|Some Nudity and Sexuality|Violence),2h 20m,2017,English,https://www.rottentomatoes.com/m/all_eyez_on_me_2017
Guy Ritchie's The Covenant,"War, Drama, Action, Crime, Mystery & thriller",83%,118,98%,"1,000+",R (Violence|Language Throughout|Brief Drug Content),2h 3m,2023,English,https://www.rottentomatoes.com/m/guy_ritchies_the_covenant
The Meg,"Sci-fi, Mystery & thriller, Action, Adventure",47%,313,44%,"5,000+",PG-13 (Bloody Images|Action/Peril|Some Language),1h 53m,2018,English,https://www.rottentomatoes.com/m/the_meg
The Swearing Jar,"Romance, Comedy, Music",94%,16,68%,Fewer,,1h 51m,2022,English,https://www.rottentomatoes.com/m/the_swearing_jar
The Other Zoey,"Romance, Comedy, Drama",83%,12,86%,100+,PG-13 (Some Strong Language|Suggestive References),1h 26m,2023,English,https://www.rottentomatoes.com/m/the_other_zoey
Candyman,"Horror, Mystery & thriller",84%,335,72%,"2,500+",R (Language|Bloody Horror Violence|Some Sexual References),1h 31m,2021,English,https://www.rottentomatoes.com/m/candyman_2021
The Next Three Days,"Mystery & thriller, Crime, Drama, Action",50%,170,66%,"50,000+",PG-13 (Language|Drug Material|Some Sexuality|Thematic Elements|Violence),2h 13m,2010,English,https://www.rottentomatoes.com/m/next_three_days
The Wild Parrots of Telegraph Hill,Documentary,95%,102,85%,"5,000+",G,1h 23m,2003,English,https://www.rottentomatoes.com/m/wild_parrots_of_telegraph_hill
Vice,"Biography, Comedy, Drama",65%,369,60%,"5,000+",R (Some Violent Images|Language),2h 12m,2018,English,https://www.rottentomatoes.com/m/vice_2018
Bad Times at the El Royale,"Mystery & thriller, Crime, Drama",75%,260,75%,"5,000+",R (Language|Brief Nudity|Some Drug Content|Strong Violence),2h 21m,2018,English,https://www.rottentomatoes.com/m/bad_times_at_the_el_royale
Fight Club,"Mystery & thriller, Drama",79%,184,96%,"250,000+",R (Disturbing Behavior|Anti-Social Behavior|Violent Behavior|Graphic Behavior|Language|Sexuality),2h 19m,1999,English,https://www.rottentomatoes.com/m/fight_club
A Star Is Born,"Romance, Drama, Music",90%,536,80%,"10,000+",R (Some Sexuality/Nudity|Language Throughout|Substance Abuse),2h 15m,2018,English,https://www.rottentomatoes.com/m/a_star_is_born_2018
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",Documentary,92%,52,87%,"1,000+",,1h 34m,2017,Kalaallisut,https://www.rottentomatoes.com/m/jim_and_andy_the_great_beyond_featuring_a_very_special_contractually_obligated_mention_of_tony_clifton
Perpetrator,Horror,81%,59,29%,50+,,1h 40m,2023,English,https://www.rottentomatoes.com/m/perpetrator
Cassandro,"Drama, Biography, Comedy, Lgbtq+",91%,128,76%,100+,R (Sexual Content|Language|Drug Use),1h 47m,2023,English,https://www.rottentomatoes.com/m/cassandro
PAW Patrol: The Mighty Movie,"Kids & family, Comedy, Adventure, Animation",74%,46,94%,500+,PG (Mild Action/Peril),1h 32m,2023,English,https://www.rottentomatoes.com/m/paw_patrol_the_mighty_movie
The Nice Guys,"Action, Comedy, Mystery & thriller",91%,324,79%,"50,000+",R (Language|Brief Drug Use|Nudity|Sexuality|Violence),1h 56m,2016,English,https://www.rottentomatoes.com/m/the_nice_guys
Unforgiven,Western,96%,110,93%,"100,000+",R,2h 10m,1992,English,https://www.rottentomatoes.com/m/1041911-unforgiven
Sully,"Drama, Biography",85%,348,84%,"25,000+",PG-13 (Some Peril|Brief Strong Language),1h 36m,2016,English,https://www.rottentomatoes.com/m/sully
Ice Age,"Kids & family, Comedy, Adventure, Animation",77%,168,82%,"250,000+",PG (Mild Peril),1h 21m,2002,English,https://www.rottentomatoes.com/m/ice_age
Arrival,"Sci-fi, Mystery & thriller, Drama",94%,442,82%,"50,000+",PG-13 (Brief Strong Language),1h 56m,2016,English,https://www.rottentomatoes.com/m/arrival_2016
Who Killed Santa? A Murderville Murder Mystery,"Comedy, Holiday, Mystery & thriller",91%,11,84%,50+,TVMA (Language),52m,2022,English,https://www.rottentomatoes.com/m/who_killed_santa_a_murderville_murder_mystery
The Wild Bunch,Western,91%,66,90%,"25,000+",R,2h 22m,1969,English,https://www.rottentomatoes.com/m/1059489-wild_bunch
Ma,"Mystery & thriller, Horror",55%,213,64%,"5,000+",R (Sexual Content|Language Throughout|Teen Drug and Alcohol Use|Violent/Disturbing Material),1h 39m,2019,English,https://www.rottentomatoes.com/m/ma_2019
The Lost City,"Romance, Comedy, Adventure, Action",79%,273,83%,"2,500+",PG-13 (Partial Nudity|Language|Some Bloody Images|Suggestive Material|Violence),1h 52m,2022,English,https://www.rottentomatoes.com/m/the_lost_city
Chevalier,"Biography, History, Drama, Music",77%,164,97%,250+,PG-13 (Suggestive Material|Some Strong Language|Thematic Content|Violence),1h 47m,2022,English,https://www.rottentomatoes.com/m/chevalier_2022
Jujutsu Kaisen 0: The Movie,"Fantasy, Action, Adventure, Anime",98%,53,98%,"2,500+",PG-13 (Language|Bloody Images|Some Suggestive References|Thematic Material|Violent Content),1h 45m,2021,Japanese,https://www.rottentomatoes.com/m/jujutsu_kaisen_0_the_movie
The Snowman,"Mystery & thriller, Crime, Drama",7%,200,18%,"10,000+",R (Grisly Images|Brief Nudity|Sexuality|Some Language|Violence),2h 25m,2017,English,https://www.rottentomatoes.com/m/the_snowman_2017
What Is a Woman?,Documentary,75%,8,86%,"10,000+",,1h 34m,2022,English,https://www.rottentomatoes.com/m/what_is_a_woman
Boudica: Queen of War,"History, Drama, War",36%,14,18%,Fewer,R (Some Language|Strong Bloody Violence),1h 40m,2023,English (United Kingdom),https://www.rottentomatoes.com/m/boudica_queen_of_war
Man on Fire,"Crime, Drama",39%,168,89%,"250,000+",R (Strong Violence),2h 25m,2004,English,https://www.rottentomatoes.com/m/man_on_fire
WALL-E,"Kids & family, Adventure, Sci-fi, Comedy, Animation",95%,261,90%,"250,000+",G,1h 37m,2008,English,https://www.rottentomatoes.com/m/wall_e
Risen,"History, Drama",53%,132,70%,"10,000+",PG-13 (Some Disturbing Images|Biblical Violence),1h 48m,2016,English,https://www.rottentomatoes.com/m/risen_2016
On the Come Up,"Drama, Music",75%,32,74%,50+,PG-13 (Some Violence|Sexual References|Drug Material|Strong Language|Thematic Elements),1h 56m,2022,English,https://www.rottentomatoes.com/m/on_the_come_up
Blonde,"Biography, Drama",42%,318,34%,"2,500+",NC-17 (Some Sexual Content),2h 46m,2022,English,https://www.rottentomatoes.com/m/blonde
My Big Fat Greek Wedding 3,Comedy,29%,94,71%,"1,000+",PG-13 (Suggestive Material|Some Nudity),1h 31m,2023,English,https://www.rottentomatoes.com/m/my_big_fat_greek_wedding_3
Never Grow Old,"Western, Action, Mystery & thriller",90%,21,62%,100+,R (Some Sexual Content|Language|Brief Drug Use|Strong Bloody Violence),1h 40m,2019,English,https://www.rottentomatoes.com/m/never_grow_old
Sicario,"Mystery & thriller, Crime, Drama, Action",92%,282,85%,"50,000+",R (Language|Grisly Images|Strong Violence),2h 1m,2015,English,https://www.rottentomatoes.com/m/sicario_2015
Thank You for Your Service,"War, Biography, Drama",76%,114,73%,"5,000+",R (Drug Material|Brief Nudity|Language Throughout|Some Sexuality|Strong Violent Content),1h 48m,2017,English,https://www.rottentomatoes.com/m/thank_you_for_your_service_2017
Huesera: The Bone Woman,"Horror, Mystery & thriller",97%,97,67%,250+,,1h 33m,2022,Spanish,https://www.rottentomatoes.com/m/huesera_the_bone_woman
The Guilty,"Mystery & thriller, Crime, Drama",74%,190,49%,"1,000+",R (Language Throughout),1h 31m,2021,English,https://www.rottentomatoes.com/m/the_guilty_2021
Hustle & Flow,"Drama, Music",82%,162,82%,"100,000+",R (Sex and Drug Content|Pervasive Language|Some Violence),1h 55m,2005,English,https://www.rottentomatoes.com/m/hustle_and_flow
Triangle of Sadness,Comedy,72%,277,80%,100+,R (Some Sexual Content|Language),2h 29m,2022,English,https://www.rottentomatoes.com/m/triangle_of_sadness
Long Shot,"Romance, Comedy",82%,305,74%,"5,000+",R (Some Drug Use|Language Throughout|Strong Sexual Content),2h 3m,2019,English,https://www.rottentomatoes.com/m/long_shot_2019
Fisherman's Friends,"Comedy, Drama, Music",69%,59,74%,100+,PG-13 (Suggestive References|Some Strong Language),1h 52m,2019,English (United Kingdom),https://www.rottentomatoes.com/m/fishermans_friends
Fantastic Fungi,Documentary,100%,23,94%,50+,,1h 21m,2019,English,https://www.rottentomatoes.com/m/fantastic_fungi
Lady Chatterley's Lover,"Romance, Drama",86%,91,75%,250+,R (Graphic Nudity|Strong Sexual Content|Some Language),2h 6m,2022,English,https://www.rottentomatoes.com/m/lady_chatterleys_lover_2022
The Beguiled,"History, Drama",78%,330,48%,"10,000+",R (Some Sexuality),1h 34m,2017,English,https://www.rottentomatoes.com/m/the_beguiled
Christmas With You,"Holiday, Romance, Comedy",65%,17,60%,100+,,1h 29m,2022,English,https://www.rottentomatoes.com/m/christmas_with_you
Oppenheimer,"History, Drama, Biography",93%,475,91%,"10,000+",R (Nudity|Language|Some Sexuality),3h 0m,2023,English,https://www.rottentomatoes.com/m/oppenheimer_2023
The Christmas Chronicles,"Kids & family, Holiday, Comedy, Fantasy, Adventure",68%,62,76%,"1,000+",TVPG,1h 44m,2018,English,https://www.rottentomatoes.com/m/the_christmas_chronicles
Murder Mystery 2,"Comedy, Mystery & thriller, Action, Crime",45%,95,46%,"1,000+",PG-13 (Strong Language|Smoking|Bloody Images|Suggestive Material|Violence),1h 30m,2023,English,https://www.rottentomatoes.com/m/murder_mystery_2
After,"Romance, Drama",18%,39,65%,"2,500+",PG-13 (Some College Partying|Sexual Content),1h 46m,2019,English,https://www.rottentomatoes.com/m/after_2019
Taurus,"Drama, Music",62%,26,90%,50+,,1h 38m,2022,English,https://www.rottentomatoes.com/m/taurus
A Boy Called Christmas,"Kids & family, Holiday, Adventure, Drama, Fantasy",84%,31,59%,250+,,1h 46m,2021,English (United Kingdom),https://www.rottentomatoes.com/m/a_boy_called_christmas
White Christmas,"Holiday, Musical, Comedy",77%,44,88%,"50,000+",,2h 0m,1954,English,https://www.rottentomatoes.com/m/1023543-white_christmas
Girls to Buy,Drama,--,2,68%,Fewer,,2h 16m,2021,Polish,https://www.rottentomatoes.com/m/girls_to_buy
Thor: Ragnarok,"Action, Adventure, Sci-fi, Fantasy, Comedy",93%,440,87%,"50,000+",PG-13 (Brief Suggestive Material|Action|Intense Sci-Fi Violence),2h 10m,2017,English,https://www.rottentomatoes.com/m/thor_ragnarok_2017
Donnie Darko,"Drama, Sci-fi, Fantasy",87%,119,80%,"250,000+",R (Some Drug Use|Language|Violence),1h 53m,2001,English,https://www.rottentomatoes.com/m/donnie_darko
The Night Before,"Holiday, Comedy",68%,160,61%,"25,000+",R (Graphic Nudity|Drug Use|Language Throughout|Some Strong Sexual Content),1h 41m,2015,English,https://www.rottentomatoes.com/m/the_night_before_2015
Tetris,"Mystery & thriller, Biography, Drama",82%,186,87%,"1,000+",R (Language),1h 58m,2023,English,https://www.rottentomatoes.com/m/tetris
A Walk in the Woods,"Comedy, Adventure",46%,165,48%,"10,000+",R (Some Sexual References|Language),1h 44m,2015,English,https://www.rottentomatoes.com/m/a_walk_in_the_woods_2015
Halloween,"Holiday, Horror, Mystery & thriller",96%,85,89%,"250,000+",R,1h 31m,1978,English,https://www.rottentomatoes.com/m/1009113-halloween
Law Abiding Citizen,"Mystery & thriller, Crime, Drama",26%,163,75%,"250,000+",R (Rape|Pervasive Language|Strong Bloody Brutal Violence|Torture),1h 48m,2009,English,https://www.rottentomatoes.com/m/law_abiding_citizen
In This Corner of the World,"History, Drama, War, Anime",97%,74,88%,50+,PG-13 (War-Related Images|Thematic Elements),2h 8m,2016,Japanese,https://www.rottentomatoes.com/m/in_this_corner_of_the_world
One True Loves,"Romance, Comedy, Drama",22%,27,37%,100+,PG-13,1h 40m,2023,English,https://www.rottentomatoes.com/m/one_true_loves
Her Smell,"Drama, Music",84%,140,44%,250+,R (Some Drug Use|Language Throughout),2h 15m,2018,English,https://www.rottentomatoes.com/m/her_smell
Marcel the Shell with Shoes On,"Kids & family, Comedy, Animation",98%,193,90%,"1,000+",PG (Thematic Elements|Some Suggestive Material),1h 29m,2021,English,https://www.rottentomatoes.com/m/marcel_the_shell_with_shoes_on
Satan Wants You,"Documentary, Mystery & thriller",95%,41,--,,,1h 29m,2023,English,https://www.rottentomatoes.com/m/satan_wants_you
Coco,"Kids & family, Comedy, Adventure, Music, Animation",97%,356,94%,"25,000+",PG (Thematic Elements),1h 49m,2017,English,https://www.rottentomatoes.com/m/coco_2017
