name,genre,tomatometer_score,tomatometer_count,audience_score,audience_count,classification,runtime,release_year,original_language,url
Willy Wonka and the Chocolate Factory,"Kids & family, Fantasy",91%,56,87%,"250,000+",G,1h 38m,1971,English,https://www.rottentomatoes.com/m/willy_wonka_and_the_chocolate_factory
"Are You There God? It's Me, Margaret.","Comedy, Drama",99%,212,95%,250+,PG-13 (Thematic Material|Some Suggestive Material|Sexual Education),1h 45m,2023,English,https://www.rottentomatoes.com/m/are_you_there_god_its_me_margaret
Burnt,Drama,28%,161,45%,"10,000+",R (Language Throughout),1h 40m,2015,English,https://www.rottentomatoes.com/m/burnt
Resurgence,"Documentary, Sports & fitness",--,,--,,,1h 52m,2021,English,https://www.rottentomatoes.com/m/resurgence_2021
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Kids & family, Fantasy, Adventure",75%,217,61%,"250,000+",PG (Frightening Moments|Battle Sequences),2h 20m,2005,English,https://www.rottentomatoes.com/m/chronicles_of_narnia_lion_witch_wardrobe
The Princess Switch,"Holiday, Romance, Comedy, Drama",67%,15,51%,500+,TVPG,1h 41m,2018,English,https://www.rottentomatoes.com/m/the_princess_switch
Disney's A Christmas Carol,"Kids & family, Holiday, Fantasy, Drama, Animation",52%,201,58%,"250,000+",PG (Scary Sequences|Scary Images),1h 35m,2009,English,https://www.rottentomatoes.com/m/10008502-christmas_carol
Harry Potter and the Deathly Hallows: Part 2,"Fantasy, Adventure",96%,332,89%,"250,000+",PG-13 (Seq of Intense Action Violence|Frightening Images),2h 11m,2011,English,https://www.rottentomatoes.com/m/harry_potter_and_the_deathly_hallows_part_2
Luckiest Girl Alive,"Crime, Drama",44%,57,72%,"1,000+",R (Teen Substance Use|Language Throughout|Sexual Material|Rape|Violent Content),1h 53m,2022,English,https://www.rottentomatoes.com/m/luckiest_girl_alive
Mirai,"Kids & family, Fantasy, Adventure, Anime",91%,85,79%,500+,PG (Thematic Elements|Some Scary Images),1h 38m,2018,Japanese,https://www.rottentomatoes.com/m/mirai
Malignant,"Horror, Mystery & thriller",76%,178,52%,500+,R (Language|Gruesome Images|Strong Horror Violence),1h 51m,2021,English,https://www.rottentomatoes.com/m/malignant_2021
West Side Story,"Musical, Romance",92%,389,93%,"2,500+",PG-13 (Some Strong Violence|Brief Smoking|Strong Language|Suggestive Material|Thematic Content),2h 36m,2021,English,https://www.rottentomatoes.com/m/west_side_story_2021
Batman v Superman: Dawn of Justice,"Action, Adventure, Sci-fi, Fantasy",29%,439,63%,"100,000+",PG-13 (Intense Sequences of Violence|Action Throughout|Some Sensuality),2h 33m,2016,English,https://www.rottentomatoes.com/m/batman_v_superman_dawn_of_justice
Kandahar,"Action, Mystery & thriller",45%,102,82%,250+,R (Violence and Language),1h 59m,2023,English,https://www.rottentomatoes.com/m/kandahar_2023
Mobile Suit Gundam: Cucuruz Doan's Island,"Action, Anime",100%,6,100%,50+,,1h 49m,2022,Japanese,https://www.rottentomatoes.com/m/mobile_suit_gundam_cucuruz_doans_island
Weird: The Al Yankovic Story,"Biography, Comedy, Music",84%,158,80%,"1,000+",,1h 48m,2022,English,https://www.rottentomatoes.com/m/weird_the_al_yankovic_story
Memories for Life: Reversing Alzheimer's,Documentary,--,,--,,,1h 25m,2023,English,https://www.rottentomatoes.com/m/memories_for_life_reversing_alzheimers
Gone With the Wind,"Romance, History, Drama",90%,103,92%,"250,000+",G,3h 42m,1939,English,https://www.rottentomatoes.com/m/gone_with_the_wind
Miracle on 34th Street,"Kids & family, Holiday, Fantasy",60%,35,62%,"50,000+",PG (Some Mild Language),1h 54m,1994,English,https://www.rottentomatoes.com/m/miracle_on_34th_street_1994
Cautionary Tale,"Comedy, Drama, Music",--,1,--,Fewer,,1h 27m,2023,English,https://www.rottentomatoes.com/m/cautionary_tale
Spiderhead,"Sci-fi, Action, Crime, Drama",39%,156,30%,"1,000+",R (Language|Violent Content|Sexual Content),1h 47m,2022,English,https://www.rottentomatoes.com/m/spiderhead
The Outfit,"Mystery & thriller, Crime, Drama",85%,172,92%,250+,R (Some Bloody Violence|Language Throughout),1h 45m,2022,English,https://www.rottentomatoes.com/m/the_outfit_2022
I Still Believe,"Biography, Drama, Romance, Music",49%,49,98%,"1,000+",PG (Thematic Material),1h 55m,2020,English,https://www.rottentomatoes.com/m/i_still_believe
Liberty,Mystery & thriller,--,1,--,,,1h 48m,2022,English,https://www.rottentomatoes.com/m/liberty_2022
The Hating Game,"Romance, Comedy",70%,27,77%,500+,R (Some Sexual Content|Language),1h 42m,2021,English,https://www.rottentomatoes.com/m/the_hating_game
Shrek,"Kids & family, Comedy, Fantasy, Animation",88%,211,90%,"250,000+",PG (Some Crude Humor|Mild Language),1h 29m,2001,English,https://www.rottentomatoes.com/m/shrek
Spider-Man: Homecoming,"Action, Adventure, Fantasy, Comedy",92%,400,87%,"100,000+",PG-13 (Sci-Fi Action Violence|Brief Suggestive Comments|Some Language),2h 13m,2017,English,https://www.rottentomatoes.com/m/spider_man_homecoming
Despicable Me 3,"Kids & family, Comedy, Adventure, Animation",59%,198,53%,"50,000+",PG (Action and Rude Humor),1h 30m,2017,English,https://www.rottentomatoes.com/m/despicable_me_3
Desperation Road,"Action, Mystery & thriller",64%,14,85%,50+,R (Sexual Assault|Brief Sexuality|Nudity|Language Throughout|Some Violence),1h 52m,2023,English,https://www.rottentomatoes.com/m/desperation_road
All That Breathes,Documentary,99%,87,83%,100+,,1h 31m,2022,Hindi,https://www.rottentomatoes.com/m/all_that_breathes
Four Christmases,"Holiday, Romance, Comedy",25%,145,47%,"250,000+",PG-13 (Some Sexual Humor|Language),1h 28m,2008,English,https://www.rottentomatoes.com/m/four_christmases
13 Going on 30,"Romance, Comedy, Fantasy",64%,177,71%,"250,000+",PG-13 (Some Sexual Content|Brief Drug References),1h 37m,2004,English,https://www.rottentomatoes.com/m/13_going_on_30
Wrinkles the Clown,"Documentary, Comedy, Horror, Mystery & thriller",71%,35,38%,50+,,1h 18m,2019,English,https://www.rottentomatoes.com/m/wrinkles_the_clown
