Title,Genre,ReleaseYear,Rating,VoteCount,Duration
Mortadelo and Filemon: Mission Implausible,"['Animation', 'Comedy']",2014,6.4,2229,1.5166666666666666
The Boxcar Children,"['Animation', 'Adventure', 'Family']",2014,6.5,600,1.4333333333333333
Eiga Doraemon: Shin Nobita no daimakyô,"['Animation', 'Action', 'Adventure']",2014,6.8,1087,1.8166666666666667
Appleseed Alpha,"['Animation', 'Action', 'Adventure']",2014,6.5,8762,1.55
Yellowbird,"['Animation', 'Adventure', 'Comedy']",2014,5.5,1857,1.5
Saint Seiya: Legend of Sanctuary,"['Animation', 'Action', 'Fantasy']",2014,5.4,4622,1.55
The Hero of Color City,"['Animation', 'Adventure', 'Family']",2014,3.9,718,1.2833333333333334
Gekijouban Sekaiichi hatsukoi: Yokozawa Takafumi no baai,"['Animation', 'Romance']",2014,7.5,498,0.8333333333333334
My Little Pony: Equestria Girls - Rainbow Rocks Animated,"['Animation', 'Adventure', 'Comedy']",2014,7.0,3458,1.25
Chhota Bheem Aur Mayavi Gorgan,['Animation'],2014,8.1,56,1.0833333333333333
Boonie Bears: To the Rescue,"['Animation', 'Action', 'Adventure']",2014,4.5,281,1.5833333333333333
Detective Conan: The Sniper from Another Dimension,"['Animation', 'Action', 'Adventure']",2014,6.7,1555,1.8333333333333333
Chaar Sahibzaade,"['Animation', 'History']",2014,7.7,7906,2.25
Pokémon the Movie: Diancie and the Cocoon of Destruction,"['Animation', 'Action', 'Adventure']",2014,5.5,1704,1.2666666666666666
Chhota Bheem Paanch Ajoobe,"['Animation', 'Action', 'Adventure']",2014,7.9,43,
Tamako Love Story,"['Animation', 'Comedy', 'Drama']",2014,7.0,2704,1.3833333333333333
Kochadaiiyaan,"['Animation', 'Action', 'Adventure']",2014,6.2,5305,1.9666666666666666
Team Hot Wheels: The Origin of Awesome!,"['Animation', 'Adventure', 'Family']",2014,5.3,214,1.3333333333333333
Lupin the Third: The Gravestone of Daisuke Jigen,"['Animation', 'Action', 'Crime']",2014,7.2,957,0.85
"Mummy, I'm A Zombie",['Animation'],2014,4.5,270,1.3666666666666667
The Snow Queen 2,"['Animation', 'Adventure', 'Comedy']",2014,5.8,2469,1.35
The Evil Within,"['Animation', 'Horror']",2014,7.8,195,2.033333333333333
Beyond Beyond,"['Animation', 'Adventure']",2014,6.0,869,1.3
The Seventh Dwarf,"['Animation', 'Adventure', 'Comedy']",2014,4.6,1348,1.45
Barbie and the Secret Door,"['Animation', 'Family']",2014,5.6,1711,1.35
Giovanni's Island,"['Animation', 'Drama', 'History']",2014,7.3,2178,1.7
Rakuen Tsuiho: Expelled from Paradise,"['Animation', 'Action', 'Adventure']",2014,6.6,1808,1.7333333333333334
Maya the Bee Movie,"['Animation', 'Adventure', 'Comedy']",2014,5.9,2221,1.4833333333333334
The Clockwork Girl,"['Animation', 'Adventure', 'Fantasy']",2014,5.5,799,1.4
This Is Where I Leave You,"['Comedy', 'Drama']",2014,6.6,87337,1.7166666666666666
What We Do in the Shadows,"['Comedy', 'Horror']",2014,7.6,195878,1.4333333333333333
Birdman or (The Unexpected Virtue of Ignorance),"['Comedy', 'Drama']",2014,7.7,655859,1.9833333333333334
Blended,"['Comedy', 'Romance']",2014,6.5,141046,1.95
Tusk,"['Comedy', 'Horror']",2014,5.3,61269,1.7
Sex Tape,"['Comedy', 'Romance']",2014,5.1,116607,1.5666666666666667
Wild Tales,"['Comedy', 'Drama', 'Thriller']",2014,8.1,211350,2.033333333333333
The Other Woman,"['Comedy', 'Romance']",2014,6.0,147888,1.8166666666666667
Miss Meadows,"['Comedy', 'Crime', 'Drama']",2014,5.8,9655,1.4666666666666666
"Love, Rosie","['Comedy', 'Romance']",2014,7.1,151886,1.7
The Voices,"['Comedy', 'Crime', 'Horror']",2014,6.3,61325,1.7166666666666666
A Million Ways to Die in the West,"['Comedy', 'Western']",2014,6.1,195822,1.9333333333333333
Inherent Vice,"['Comedy', 'Crime', 'Drama']",2014,6.6,109186,2.466666666666667
The Monuments Men,"['Comedy', 'Drama', 'History']",2014,6.1,137525,1.9666666666666666
Zombeavers,"['Comedy', 'Horror']",2014,4.8,20005,1.2833333333333334
Horrible Bosses 2,"['Comedy', 'Crime']",2014,6.3,181804,1.8
St. Vincent,"['Comedy', 'Drama']",2014,7.2,107423,1.7
Neighbors,['Comedy'],2014,6.3,324455,1.6166666666666667
Tammy,"['Comedy', 'Romance']",2014,4.9,54170,1.6166666666666667
Annie,"['Comedy', 'Drama', 'Family']",2014,5.3,39884,1.9666666666666666
Life After Beth,"['Comedy', 'Fantasy', 'Horror']",2014,5.6,23265,1.4833333333333334
Force Majeure,"['Comedy', 'Drama']",2014,7.2,64829,2.0
Before We Go,"['Comedy', 'Drama', 'Romance']",2014,6.8,62397,1.5833333333333333
PK,"['Comedy', 'Drama', 'Sci-Fi']",2014,8.1,197140,2.55
Frank,"['Comedy', 'Drama', 'Music']",2014,6.9,81605,1.5833333333333333
Dumb and Dumber To,['Comedy'],2014,5.6,143149,1.8166666666666667
That Awkward Moment,"['Comedy', 'Romance']",2014,6.1,106347,1.5666666666666667
My Old Lady,"['Comedy', 'Drama', 'Romance']",2014,6.4,9871,1.7833333333333334
3 Days to Kill,"['Action', 'Comedy', 'Drama']",2014,6.2,96694,1.95
Walk of Shame,['Comedy'],2014,6.0,56500,1.5833333333333333
Diet of Sex,"['Comedy', 'Drama', 'Romance']",2014,4.3,1938,1.2
Nightcrawler,"['Crime', 'Drama', 'Thriller']",2014,7.8,588442,1.95
The Drop,"['Crime', 'Drama', 'Thriller']",2014,7.0,159815,1.7666666666666666
Deliver Us from Evil,"['Crime', 'Fantasy', 'Horror']",2014,6.2,84084,1.9666666666666666
The Gambler,"['Crime', 'Drama', 'Thriller']",2014,6.0,72490,1.85
Cut Bank,"['Crime', 'Drama', 'Mystery']",2014,6.1,13519,1.55
The Judge,"['Crime', 'Drama']",2014,7.4,198952,2.35
The Captive,"['Crime', 'Drama', 'Mystery']",2014,5.9,35340,1.8666666666666667
Calvary,"['Crime', 'Drama', 'Mystery']",2014,7.4,63382,1.7
99 Homes,"['Crime', 'Drama']",2014,7.1,36602,1.8666666666666667
The Tribe,"['Crime', 'Drama']",2014,7.0,11804,2.1
Big Eyes,"['Biography', 'Crime', 'Drama']",2014,7.0,97670,1.7666666666666666
Jigarthanda,"['Action', 'Comedy', 'Crime']",2014,8.2,12863,2.85
Let's Be Cops,"['Action', 'Comedy', 'Crime']",2014,6.4,138763,1.7333333333333334
Who Am I,"['Crime', 'Drama', 'Mystery']",2014,7.5,61382,1.7
A Most Wanted Man,"['Crime', 'Drama', 'Thriller']",2014,6.7,79205,2.033333333333333
Sabotage,"['Action', 'Crime', 'Drama']",2014,5.7,65597,1.8166666666666667
'71,"['Action', 'Crime', 'Drama']",2014,7.2,59239,1.65
Leviathan,"['Crime', 'Drama']",2014,7.6,56058,2.3333333333333335
Every Secret Thing,"['Crime', 'Drama', 'Mystery']",2014,6.1,8972,1.55
Veronica Mars,"['Crime', 'Drama', 'Mystery']",2014,6.7,54252,1.7833333333333334
Heaven Knows What,"['Crime', 'Drama']",2014,6.8,8918,1.6166666666666667
Ride Along,"['Action', 'Comedy', 'Crime']",2014,6.1,121064,1.65
In Order of Disappearance,"['Action', 'Comedy', 'Crime']",2014,7.1,28586,1.9333333333333333
Son of a Gun,"['Action', 'Crime', 'Drama']",2014,6.4,29240,1.8
Kill the Messenger,"['Biography', 'Crime', 'Drama']",2014,6.9,48365,1.8666666666666667
The Two Faces of January,"['Crime', 'Mystery', 'Romance']",2014,6.2,33207,1.6
The Rover,"['Action', 'Crime', 'Drama']",2014,6.4,50513,1.7166666666666666
Brick Mansions,"['Action', 'Crime', 'Thriller']",2014,5.6,43699,1.5
Lucky Bastard,"['Crime', 'Drama', 'Horror']",2014,4.4,1135,1.5666666666666667
Escobar: Paradise Lost,"['Crime', 'Drama', 'History']",2014,6.5,23121,2.0
A Good Marriage,"['Crime', 'Drama', 'Thriller']",2014,5.3,12409,1.7
